Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Category
27772.0,9605.7,99.0,1403.0,159.0,-2923.4,4
101000.0,15239.0,64.0,4254.0,345.0,-4115.3,0
4201.3,5997.2,121.0,319.0,87.0,-1305.8,3
10781.0,9907.4,37.0,588.0,154.0,-2400.2,3
10771.0,8428.9,25.0,619.0,157.0,-3335.0,0
86474.0,10733.0,11.0,3450.0,219.0,-2809.8,3
92435.0,14032.0,72.0,3795.0,291.0,-5907.9,0
25571.0,8348.3,37.0,1364.0,155.0,-2649.6,5
1921.1,4203.8,6.0,167.0,62.0,-1084.2,2
73788.0,12182.0,20.0,3631.0,250.0,-4410.3,1
4710.9,7756.2,27.0,272.0,130.0,-2761.9,5
61152.0,13498.0,37.0,2755.0,247.0,-5330.5,4
11231.0,8561.4,28.0,655.0,157.0,-3195.6,4
30397.0,11672.0,30.0,1520.0,194.0,-1909.4,4
11960.0,8331.4,87.0,692.0,129.0,-2588.1,2
108000.0,15069.0,44.0,4253.0,303.0,-7119.7,0
9538.1,7776.6,38.0,554.0,139.0,-2798.5,4
8865.5,7319.6,26.0,517.0,101.0,-1101.1,4
27599.0,9899.3,30.0,1520.0,193.0,-3440.5,4
80617.0,13079.0,43.0,3463.0,300.0,-6104.0,0
162000.0,18515.0,98.0,6291.0,387.0,-10500.0,3
161000.0,18760.0,65.0,6290.0,389.0,-7019.0,3
71223.0,11693.0,33.0,3212.0,261.0,-6192.2,5
141000.0,14988.0,50.0,6062.0,295.0,-7923.7,0
3441.8,5812.1,8.0,269.0,96.0,-1619.4,0
12179.0,8248.6,82.0,692.0,128.0,-2558.6,3
15661.0,7225.5,71.0,971.0,134.0,-2636.2,3
109000.0,15299.0,47.0,4619.0,321.0,-6378.8,4
57403.0,10936.0,48.0,2821.0,224.0,-4090.2,4
20518.0,8386.5,40.0,1165.0,175.0,-4444.5,0
81984.0,13447.0,41.0,3540.0,271.0,-6600.6,3
112000.0,17684.0,49.0,4619.0,322.0,-5288.4,3
4322.0,6599.9,64.0,269.0,101.0,-1891.2,5
310000.0,26057.0,103.0,8349.0,537.0,-7338.3,4
139000.0,14878.0,348.0,5527.0,321.0,-8895.7,0
193000.0,15794.0,18.0,6648.0,352.0,-6398.1,0
236000.0,18553.0,234.0,8735.0,439.0,-11996.0,0
14317.0,8070.6,90.0,808.0,119.0,-1963.1,3
117000.0,17864.0,59.0,4162.0,305.0,-5667.4,0
278000.0,22449.0,64.0,9276.0,468.0,-9394.0,5
33603.0,9489.2,94.0,1922.0,175.0,-3392.2,4
74090.0,11100.0,128.0,3288.0,229.0,-5663.8,0
4142.5,7471.0,30.0,205.0,86.0,-2150.4,4
44735.0,10875.0,85.0,2188.0,193.0,-4332.6,0
2093.4,5250.1,5.0,186.0,83.0,-1620.5,5
9177.0,7819.6,17.0,555.0,137.0,-3082.5,2
85724.0,11220.0,22.0,3450.0,221.0,-2320.6,3
3965.7,5194.1,9.0,270.0,87.0,-1682.1,0
24631.0,8139.4,60.0,1251.0,155.0,-2824.3,5
1939.9,4316.6,6.0,167.0,64.0,-1056.4,3
280000.0,23290.0,71.0,9276.0,469.0,-9203.9,5
145000.0,13889.0,174.0,6056.0,309.0,-6179.4,3
49292.0,10104.0,42.0,2677.0,215.0,-5120.4,3
30932.0,8072.9,13.0,1581.0,158.0,-3056.4,0
18542.0,8046.6,30.0,979.0,153.0,-3928.0,0
7388.8,6417.4,49.0,546.0,92.0,-1601.0,3
60134.0,12107.0,126.0,2535.0,263.0,-9201.1,0
46599.0,13107.0,58.0,2060.0,274.0,-5726.5,5
14149.0,7103.0,86.0,808.0,120.0,-2380.5,4
269000.0,24546.0,100.0,8350.0,538.0,-10999.0,3
29684.0,8212.9,92.0,1744.0,159.0,-3145.9,0
2648.2,5635.6,5.0,226.0,81.0,-1342.4,0
66809.0,13870.0,48.0,2192.0,223.0,-3807.9,3
115000.0,11538.0,45.0,4906.0,234.0,-1789.3,3
4283.5,5297.3,11.0,316.0,79.0,-1210.9,3
5238.1,6649.9,9.0,293.0,78.0,-1309.6,2
56371.0,12774.0,30.0,2676.0,215.0,-4598.9,4
83841.0,13758.0,26.0,3453.0,261.0,-7461.5,0
164000.0,15937.0,73.0,6745.0,353.0,-7778.4,2
20322.0,8446.1,95.0,1161.0,162.0,-3495.5,4
39383.0,10804.0,116.0,1750.0,204.0,-3992.6,4
87354.0,12380.0,65.0,3973.0,271.0,-5480.7,0
1410.7,3989.9,37.0,134.0,52.0,-942.71,3
37778.0,10330.0,132.0,1752.0,205.0,-4226.8,2
1394.4,4004.3,38.0,132.0,52.0,-929.39,3
7632.2,5679.9,73.0,457.0,103.0,-1872.5,2
114000.0,11410.0,50.0,4905.0,235.0,-3399.1,2
12178.0,8654.9,80.0,693.0,127.0,-2450.6,2
3233.8,4458.8,34.0,249.0,71.0,-1243.7,4
5512.7,5870.6,13.0,341.0,86.0,-2187.1,0
20304.0,8577.6,78.0,1163.0,164.0,-3417.0,5
75383.0,15232.0,169.0,3062.0,350.0,-8580.6,0
34538.0,9819.0,128.0,1692.0,209.0,-4583.1,4
38775.0,9747.6,53.0,2053.0,180.0,-3721.8,4
5330.0,8123.8,29.0,206.0,87.0,-1358.5,3
143000.0,13348.0,174.0,6057.0,309.0,-6196.4,3
162000.0,18608.0,92.0,6291.0,389.0,-11000.0,4
31897.0,8631.5,42.0,1569.0,152.0,-5036.1,0
9146.4,6851.7,23.0,553.0,139.0,-2961.3,4
44734.0,11752.0,47.0,2058.0,224.0,-3107.4,3
190000.0,20755.0,76.0,6747.0,404.0,-7341.0,3
88354.0,12204.0,16.0,3450.0,219.0,-2359.9,4
27281.0,8066.5,85.0,1520.0,157.0,-2907.2,4
34053.0,10896.0,35.0,1579.0,196.0,-4550.9,0
7583.5,5565.9,75.0,458.0,103.0,-1977.3,2
10337.0,10249.0,40.0,588.0,155.0,-1990.6,2
411000.0,22171.0,68.0,14125.0,473.0,-8960.1,2
193000.0,15179.0,45.0,7451.0,335.0,-9658.4,0
15088.0,8826.7,36.0,888.0,158.0,-4599.4,0
3020.1,5305.2,50.0,223.0,67.0,-1199.6,2
55428.0,11630.0,56.0,2193.0,225.0,-2648.2,4
61360.0,13402.0,147.0,2836.0,315.0,-8371.1,0
87085.0,14156.0,77.0,3624.0,294.0,-7748.7,0
30493.0,9781.2,115.0,1748.0,172.0,-3142.0,4
7336.6,7015.5,23.0,428.0,95.0,-1701.3,5
232000.0,18588.0,95.0,7837.0,437.0,-12290.0,0
13662.0,6668.8,19.0,803.0,95.0,-1589.6,2
32391.0,13153.0,33.0,1581.0,218.0,-6683.0,0
162000.0,18349.0,87.0,6291.0,387.0,-11500.0,3
16161.0,8849.0,89.0,973.0,171.0,-3318.1,5
27439.0,8973.3,97.0,1402.0,157.0,-2997.6,4
57.408,2531.3,9.0,4.0,33.0,-208.75,1
7621.1,5964.3,69.0,457.0,104.0,-1768.9,2
9198.1,6898.8,21.0,553.0,137.0,-3140.1,3
466000.0,25150.0,49.0,15504.0,484.0,-10998.0,5
12042.0,8420.5,84.0,693.0,128.0,-2599.1,2
16578.0,8467.3,41.0,851.0,152.0,-3321.5,0
2215.3,4000.4,23.0,164.0,53.0,-1054.8,2
29080.0,9068.6,33.0,1625.0,179.0,-3414.8,5
58749.0,11890.0,54.0,2821.0,223.0,-3129.5,4
515000.0,22445.0,143.0,18067.0,541.0,-12233.0,4
60283.0,13286.0,36.0,2823.0,224.0,-2400.7,4
241000.0,22802.0,87.0,8351.0,538.0,-10800.0,3
29521.0,9274.5,82.0,1521.0,157.0,-2767.0,4
46342.0,9455.1,136.0,2320.0,184.0,-5722.6,0
2012.2,4167.9,6.0,166.0,63.0,-1079.5,3
124000.0,16262.0,92.0,5029.0,423.0,-10920.0,0
164000.0,14175.0,153.0,6859.0,343.0,-7948.3,0
205000.0,20931.0,282.0,6637.0,482.0,-11711.0,0
25458.0,8940.3,29.0,1408.0,155.0,-3797.0,0
177000.0,18147.0,217.0,6750.0,412.0,-10113.0,0
156000.0,19905.0,71.0,5538.0,449.0,-8180.2,2
86513.0,11055.0,27.0,3450.0,221.0,-3790.5,4
43158.0,13672.0,47.0,1580.0,235.0,-1911.8,3
13152.0,7595.4,12.0,809.0,140.0,-4360.6,0
83594.0,11021.0,25.0,3451.0,221.0,-1298.1,3
41915.0,8813.5,45.0,2378.0,187.0,-4552.7,0
37701.0,11013.0,64.0,1756.0,230.0,-3600.0,0
138000.0,15257.0,63.0,5629.0,316.0,-7997.0,0
80813.0,14469.0,186.0,3137.0,241.0,-5728.4,0
13174.0,7897.6,13.0,725.0,133.0,-2871.6,0
13750.0,6816.0,27.0,805.0,97.0,-1489.9,3
85345.0,11017.0,19.0,3449.0,220.0,-3150.2,3
147000.0,19391.0,72.0,4918.0,382.0,-11313.0,0
72243.0,12586.0,53.0,3210.0,261.0,-5578.9,5
94946.0,14930.0,59.0,4064.0,283.0,-6790.7,0
4668.0,8662.3,32.0,272.0,131.0,-2595.7,5
10992.0,9026.5,27.0,654.0,157.0,-2953.5,4
1289.3,3496.3,34.0,100.0,41.0,-671.21,2
280000.0,23537.0,74.0,9275.0,468.0,-9219.6,5
27051.0,9013.5,23.0,1363.0,156.0,-3219.3,3
10606.0,6752.2,18.0,580.0,96.0,-2707.4,0
5589.3,5076.0,9.0,398.0,80.0,-91.72,0
14130.0,7501.2,97.0,808.0,119.0,-2336.6,3
10544.0,8044.3,88.0,587.0,139.0,-3036.5,2
1493.2,4068.8,41.0,132.0,52.0,-925.22,2
31362.0,8940.7,91.0,1805.0,178.0,-4011.7,0
7646.2,5939.2,64.0,458.0,103.0,-1771.2,2
93966.0,14557.0,55.0,3802.0,290.0,-6771.1,0
11097.0,5964.4,23.0,765.0,102.0,-1940.5,4
1964.1,4039.8,6.0,165.0,64.0,-1114.0,3
5360.4,6855.2,52.0,346.0,107.0,-2115.4,3
128000.0,15621.0,82.0,4912.0,350.0,-7849.2,0
63972.0,10805.0,91.0,3206.0,231.0,-4461.0,0
37402.0,10336.0,34.0,2117.0,194.0,-3810.8,4
20527.0,9098.6,67.0,1156.0,144.0,-2886.2,4
162000.0,16251.0,79.0,6744.0,352.0,-3304.8,2
13508.0,6418.6,19.0,805.0,97.0,-1519.3,3
100000.0,12428.0,69.0,4076.0,333.0,-5075.3,0
145000.0,16634.0,54.0,5845.0,315.0,-4280.0,4
69041.0,16314.0,98.0,2469.0,309.0,-7691.8,0
19381.0,10285.0,73.0,622.0,125.0,-3283.1,0
81124.0,15818.0,59.0,2058.0,223.0,-2240.8,3
178000.0,19070.0,95.0,6746.0,403.0,-4601.7,3
162000.0,18341.0,78.0,6289.0,387.0,-9321.6,3
97868.0,12374.0,41.0,4429.0,271.0,-4863.3,0
10081.0,9055.4,36.0,588.0,153.0,-2160.8,3
24964.0,8954.0,36.0,1409.0,164.0,-5054.0,0
37267.0,12325.0,44.0,1582.0,235.0,-3789.9,2
2773.6,5469.5,39.0,223.0,66.0,-1137.9,3
2791.7,5110.9,36.0,224.0,67.0,-1180.6,3
38314.0,11094.0,38.0,1998.0,234.0,-6537.5,0
60205.0,11562.0,67.0,2822.0,222.0,-434.72,5
165000.0,17295.0,74.0,6744.0,353.0,-7411.1,2
116000.0,13448.0,46.0,4920.0,270.0,-2709.7,0
413000.0,21841.0,69.0,14126.0,474.0,-8640.9,4
2166.4,3701.4,2.0,161.0,43.0,-563.83,5
4014.4,5370.5,21.0,292.0,80.0,-2300.0,4
34358.0,9383.4,130.0,1692.0,207.0,-4616.2,4
161000.0,17364.0,83.0,6290.0,387.0,-11999.0,3
200000.0,15911.0,296.0,8210.0,346.0,-7747.2,0
57912.0,10609.0,142.0,2904.0,218.0,-4580.0,2
39282.0,9555.9,16.0,1886.0,196.0,-3221.1,3
10276.0,7796.9,25.0,621.0,123.0,-2350.8,4
91834.0,14438.0,51.0,3886.0,254.0,-3730.8,3
27071.0,9215.8,28.0,1413.0,165.0,-2809.2,5
50550.0,12179.0,42.0,2465.0,234.0,-6289.7,3
10328.0,6639.7,15.0,688.0,109.0,-3161.9,3
144000.0,13006.0,187.0,6056.0,308.0,-7059.5,0
11267.0,5956.9,27.0,764.0,101.0,-1873.4,4
172000.0,15836.0,199.0,6856.0,365.0,-9218.0,0
12742.0,7050.2,81.0,642.0,108.0,-2229.8,0
10414.0,9018.6,97.0,586.0,140.0,-2744.8,4
2938.6,4765.6,46.0,223.0,66.0,-1254.7,3
37405.0,10322.0,106.0,1750.0,206.0,-4296.7,3
52993.0,11964.0,30.0,2532.0,269.0,-7071.7,0
44082.0,8731.7,39.0,2187.0,189.0,-5003.5,0
27511.0,9589.1,24.0,1522.0,194.0,-3328.8,4
217000.0,21349.0,77.0,6746.0,404.0,-4800.4,5
96066.0,13647.0,54.0,4250.0,294.0,-5914.4,5
43221.0,11278.0,11.0,1413.0,173.0,-4517.1,0
38043.0,9436.7,39.0,2054.0,179.0,-3803.8,5
7538.1,7096.2,17.0,455.0,131.0,-4593.2,0
4290.3,5377.7,15.0,293.0,89.0,-903.19,1
1983.8,4359.8,4.0,167.0,62.0,-1039.5,3
64260.0,10991.0,77.0,3055.0,276.0,-5616.3,0
58958.0,10486.0,85.0,2904.0,218.0,-4517.7,5
62.608000000000004,2589.1,93.0,6.0,32.0,-430.28,2
7125.1,6763.6,160.0,487.0,110.0,-2119.1,5
30351.0,9381.5,116.0,1748.0,170.0,-3251.8,5
127000.0,14027.0,35.0,5313.0,296.0,-8139.6,0
33143.0,10407.0,73.0,1922.0,177.0,-3309.0,4
9454.4,7751.0,14.0,585.0,141.0,-1966.7,0
4970.7,5739.3,26.0,342.0,84.0,-881.21,1
69274.0,11321.0,144.0,3372.0,247.0,-5287.3,1
17144.0,9177.5,34.0,931.0,182.0,-4255.3,1
114000.0,17349.0,39.0,4620.0,321.0,-5929.8,5
9865.2,7409.5,15.0,616.0,118.0,-2098.0,0
11145.0,5897.0,23.0,764.0,103.0,-1910.5,4
74504.0,11976.0,26.0,3631.0,250.0,-3969.0,2
5005.8,6061.4,7.0,292.0,78.0,-1899.8,3
7582.5,6477.9,65.0,456.0,104.0,-1617.3,2
36070.0,11374.0,115.0,1690.0,207.0,-4132.1,5
150000.0,19205.0,71.0,5538.0,450.0,-9219.1,2
10194.0,7891.0,16.0,620.0,124.0,-2384.3,4
2960.8,4976.6,48.0,224.0,68.0,-1234.6,2
7519.9,5985.2,68.0,457.0,104.0,-1762.9,2
10371.0,6167.9,12.0,688.0,108.0,-3189.3,3
8146.1,6096.0,12.0,484.0,86.0,-2116.6,0
85781.0,10642.0,24.0,3450.0,220.0,-2489.7,3
41491.0,10094.0,19.0,2055.0,181.0,-4312.6,0
38503.0,8733.3,24.0,1991.0,206.0,-5822.7,0
409000.0,21139.0,65.0,14125.0,473.0,-9881.1,3
4251.1,4886.0,15.0,291.0,89.0,-1320.9,1
1917.4,4321.0,5.0,165.0,62.0,-1057.4,3
50262.0,9499.1,34.0,2743.0,189.0,-4365.0,0
2801.3,4599.8,46.0,206.0,76.0,-1402.1,0
50921.0,13047.0,40.0,2463.0,235.0,-4529.1,2
2176.8,3934.7,21.0,166.0,55.0,-1056.9,1
26371.0,8793.2,17.0,1414.0,167.0,-2510.9,4
7402.8,6161.8,50.0,545.0,94.0,-1626.9,2
467000.0,22507.0,40.0,15505.0,483.0,-13402.0,3
116000.0,12111.0,50.0,4904.0,234.0,-4228.2,3
11374.0,9077.9,30.0,655.0,156.0,-3065.0,4
365000.0,21121.0,92.0,12197.0,523.0,-11566.0,0
7637.6,5778.3,74.0,458.0,105.0,-1809.2,2
2175.0,4013.8,19.0,164.0,55.0,-1129.4,2
28862.0,8847.2,90.0,1522.0,155.0,-2775.0,5
60322.0,12370.0,196.0,2824.0,292.0,-7202.1,0
38217.0,11324.0,43.0,1997.0,197.0,-3858.9,4
202000.0,18161.0,61.0,7460.0,390.0,-7948.6,5
75542.0,9854.3,27.0,3795.0,228.0,-4754.5,0
39554.0,11047.0,28.0,2117.0,194.0,-3865.8,4
61103.0,13963.0,28.0,2755.0,246.0,-5049.4,4
30221.0,8675.5,20.0,1570.0,168.0,-1765.4,0
82240.0,13900.0,49.0,3540.0,273.0,-4691.6,4
26810.0,11134.0,40.0,1470.0,215.0,-4137.5,3
282000.0,23778.0,72.0,9276.0,469.0,-9482.0,5
3835.1,6027.8,14.0,246.0,88.0,-1663.9,0
48645.0,10811.0,39.0,2459.0,196.0,-4534.8,0
25651.0,8286.8,39.0,1520.0,156.0,-3221.6,3
7407.3,6615.4,22.0,546.0,92.0,-1513.4,3
57670.0,14931.0,35.0,2189.0,215.0,-4629.4,3
45234.0,9740.2,99.0,2182.0,160.0,-2993.2,4
11709.0,9106.4,40.0,654.0,157.0,-3201.6,4
85382.0,13222.0,185.0,3888.0,275.0,-6766.1,0
263000.0,24859.0,67.0,8871.0,540.0,-10200.0,3
38097.0,9486.6,39.0,2055.0,179.0,-3769.6,5
17622.0,8745.3,77.0,845.0,142.0,-2779.6,4
1754.8,5066.2,17.0,146.0,76.0,-1465.4,5
90209.0,12403.0,22.0,3449.0,221.0,-4159.5,4
34485.0,10406.0,133.0,1692.0,209.0,-4339.9,4
27150.0,9178.3,97.0,1403.0,158.0,-3089.4,4
78525.0,14501.0,92.0,3465.0,320.0,-6530.1,5
169000.0,16574.0,80.0,6403.0,354.0,-9114.8,0
10302.0,6359.0,15.0,690.0,110.0,-3209.8,3
94103.0,12325.0,49.0,4156.0,262.0,-5955.7,0
2158.7,6097.3,15.0,184.0,83.0,-1411.0,4
9398.0,8349.9,97.0,489.0,130.0,-2656.8,2
1350.3,4357.8,11.0,102.0,50.0,-817.83,4
288000.0,25015.0,97.0,8350.0,538.0,-9071.2,4
22896.0,9087.2,40.0,1211.0,183.0,-4780.9,4
4993.6,6721.3,72.0,346.0,106.0,-2136.2,2
48.661,2438.4,6.0,4.0,34.0,-639.99,1
12220.0,8423.6,81.0,694.0,127.0,-2399.7,2
22259.0,10164.0,38.0,1212.0,181.0,-2690.0,5
73531.0,11410.0,26.0,3630.0,248.0,-5340.8,2
17127.0,9347.1,36.0,931.0,184.0,-3994.3,1
4277.5,5187.2,9.0,318.0,80.0,-1751.1,2
71981.0,10343.0,24.0,3630.0,250.0,-4548.4,2
51945.0,13497.0,61.0,2335.0,289.0,-6014.4,4
52873.0,13058.0,53.0,2334.0,289.0,-5970.0,5
7708.4,5732.4,75.0,457.0,105.0,-1817.3,2
25831.0,8108.5,19.0,1110.0,117.0,-2893.8,0
26159.0,9293.0,30.0,1519.0,158.0,-3007.3,3
26456.0,7795.5,97.0,1522.0,155.0,-2869.9,4
27520.0,9225.8,90.0,1403.0,157.0,-2984.0,3
4431.1,5246.2,20.0,292.0,88.0,-52.185,3
21316.0,8072.5,23.0,1108.0,144.0,-2858.1,0
1105.1,4902.1,31.0,102.0,51.0,-756.85,4
27779.0,8737.2,94.0,1522.0,155.0,-2826.6,4
8766.5,10117.0,18.0,401.0,138.0,-2511.5,0
81217.0,13567.0,33.0,3538.0,271.0,-6470.2,4
82516.0,15334.0,64.0,2060.0,224.0,-2658.6,3
9346.6,7717.2,28.0,515.0,103.0,-1350.9,5
138000.0,15035.0,187.0,5630.0,315.0,-7095.9,0
112000.0,11456.0,45.0,4905.0,234.0,-4560.0,2
24050.0,8902.2,25.0,1252.0,154.0,-2938.2,3
4453.8,5345.1,21.0,293.0,89.0,-1100.5,3
145000.0,15412.0,176.0,6056.0,308.0,-5811.9,3
60268.0,12805.0,30.0,2754.0,246.0,-5197.2,4
52720.0,14073.0,53.0,2334.0,287.0,-5792.4,4
4634.4,4748.5,12.0,317.0,79.0,-2089.0,4
50791.0,12973.0,152.0,2328.0,288.0,-6804.5,0
143000.0,13244.0,189.0,6057.0,308.0,-6400.3,3
4105.3,5286.0,129.0,319.0,89.0,-1545.3,2
32599.0,10315.0,61.0,1923.0,176.0,-3460.5,3
7587.3,7974.7,161.0,486.0,110.0,-1688.4,5
65070.0,11019.0,55.0,3452.0,247.0,-8355.2,0
4737.9,5235.5,6.0,184.0,50.0,-1805.4,0
29651.0,12825.0,15.0,1415.0,260.0,-7068.0,0
48028.0,13385.0,50.0,2059.0,222.0,-3300.2,3
15816.0,7595.0,72.0,971.0,134.0,-2645.9,4
8033.4,7312.9,156.0,488.0,118.0,-2579.2,0
7635.5,5824.8,76.0,457.0,105.0,-1816.7,2
3401.6,5162.7,47.0,131.0,52.0,-803.38,2
209000.0,17624.0,83.0,7823.0,379.0,-7547.4,0
11074.0,8788.6,39.0,655.0,157.0,-3240.2,4
40024.0,10342.0,35.0,2055.0,208.0,-6091.0,0
8243.0,6861.9,68.0,517.0,107.0,-1895.8,5
1479.9,4079.6,40.0,133.0,51.0,-937.62,2
4209.9,5566.5,124.0,317.0,88.0,-1476.9,3
72618.0,12988.0,46.0,3211.0,262.0,-5462.4,5
46962.0,12836.0,63.0,2060.0,274.0,-5880.6,5
83731.0,13774.0,214.0,3635.0,281.0,-8698.7,0
8786.3,7333.5,15.0,552.0,106.0,-3057.4,0
16635.0,8879.1,34.0,932.0,184.0,-4548.8,0
15308.0,9207.9,82.0,735.0,159.0,-4508.3,0
265000.0,25030.0,109.0,8349.0,537.0,-10200.0,3
92683.0,13864.0,63.0,3885.0,253.0,-5089.2,3
63459.0,14174.0,29.0,2753.0,248.0,-6511.0,5
118000.0,12519.0,45.0,4906.0,235.0,-3190.6,3
34009.0,10122.0,85.0,1684.0,192.0,-4433.0,0
3517.7,5231.8,46.0,132.0,50.0,-840.49,0
30537.0,9710.9,116.0,1746.0,170.0,-3178.2,5
112000.0,16169.0,46.0,4620.0,321.0,-5780.2,4
90806.0,13485.0,46.0,3886.0,254.0,-5879.9,3
19010.0,7463.6,55.0,1108.0,131.0,-2081.0,0
10893.0,5425.5,22.0,765.0,103.0,-2044.1,4
5201.4,6539.5,54.0,345.0,107.0,-2201.9,3
282000.0,22768.0,60.0,9276.0,469.0,-9604.9,5
11905.0,8033.3,83.0,693.0,127.0,-2615.7,3
187000.0,22728.0,87.0,6746.0,402.0,-2598.7,4
4070.3,5487.3,121.0,319.0,89.0,-1512.1,3
20445.0,9077.2,80.0,1162.0,164.0,-3332.9,5
347000.0,22847.0,123.0,11713.0,513.0,-10353.0,0
194000.0,17504.0,80.0,6869.0,336.0,-8562.7,0
8345.4,8375.2,32.0,490.0,154.0,-3229.8,0
34331.0,9605.8,84.0,1922.0,176.0,-3513.2,4
3177.3,4986.9,37.0,250.0,72.0,-1128.6,3
32581.0,9620.4,46.0,1688.0,170.0,-4901.5,0
4298.5,5132.9,13.0,316.0,78.0,-1490.6,2
60940.0,15246.0,38.0,2188.0,215.0,-5358.5,3
10949.0,7630.6,36.0,654.0,155.0,-3386.1,4
4163.0,5178.7,10.0,318.0,78.0,-1230.2,2
90425.0,13914.0,39.0,3886.0,253.0,-4599.1,3
75521.0,12369.0,33.0,3211.0,261.0,-6253.5,0
3845.9,4971.8,15.0,316.0,80.0,-1130.6,2
82172.0,11959.0,169.0,3551.0,295.0,-7083.2,0
107000.0,16827.0,55.0,4345.0,358.0,-9408.6,0
43081.0,12578.0,45.0,1524.0,249.0,-5709.8,0
8158.8,7698.4,18.0,452.0,110.0,-1598.8,4
51257.0,14417.0,49.0,2464.0,233.0,-3710.1,4
16891.0,8839.8,72.0,844.0,141.0,-2646.5,3
34067.0,10077.0,109.0,1691.0,207.0,-4367.9,5
9280.6,7123.1,16.0,555.0,137.0,-3137.3,4
274000.0,25167.0,105.0,8349.0,538.0,-9399.4,4
501000.0,25331.0,135.0,15870.0,637.0,-13881.0,0
25211.0,8296.8,26.0,1520.0,157.0,-3227.9,3
51666.0,13448.0,58.0,2332.0,268.0,-5617.0,0
30120.0,9745.9,121.0,1746.0,170.0,-3127.8,5
35793.0,11268.0,26.0,1581.0,234.0,-4769.7,2
20746.0,8913.0,101.0,1162.0,164.0,-3504.2,4
246000.0,15585.0,64.0,8725.0,361.0,-6758.9,0
5991.9,7026.0,12.0,315.0,111.0,-2219.3,0
9962.9,9119.2,36.0,553.0,156.0,-4401.2,0
331000.0,18880.0,49.0,11114.0,397.0,-8163.9,0
4209.7,5241.3,122.0,318.0,89.0,-1498.5,3
3047.2,4483.5,32.0,250.0,71.0,-1221.9,3
5452.5,6812.5,56.0,346.0,108.0,-2184.9,3
4360.4,4858.9,21.0,340.0,72.0,-1349.5,4
50.614,2418.8,96.0,4.0,34.0,-385.25,2
3282.2,5181.0,48.0,133.0,52.0,-810.74,2
216000.0,16311.0,75.0,7582.0,374.0,-8490.8,0
3361.7,5435.1,38.0,250.0,71.0,-1080.4,4
